,FCA
index,A2A
commit4--commit5,99.92295839753467
commit5--commit6,96.62828947368422
commit6--commit7,100.0
commit7--commit8,100.0
commit8--commit9,100.0
commit9--commit10,100.0
commit10--commit11,100.0
commit11--commit12,100.0
commit12--commit13,100.0
commit13--commit14,100.0
commit14--commit15,100.0
commit15--commit16,100.0
commit16--commit17,100.0
commit17--commit18,99.60035523978685
commit18--commit19,96.4108910891089
commit19--commit20,100.0
commit20--commit21,99.92354740061162
commit21--commit22,100.0
commit22--commit23,100.0
commit23--commit24,100.0
commit24--commit25,99.46503630110813
commit25--commit26,100.0
commit26--commit27,96.85658153241651
commit27--commit28,100.0
commit28--commit29,97.10202461294163
commit29--commit30,100.0
commit30--commit31,99.84459984459984
commit31--commit32,100.0
commit32--commit33,100.0
commit33--commit34,99.9227202472952
commit34--commit35,100.0
commit35--commit36,100.0
commit36--commit37,100.0
commit37--commit38,100.0
commit38--commit39,100.0
commit39--commit40,100.0
commit40--commit41,100.0
commit41--commit42,100.0
commit42--commit43,100.0
commit43--commit44,100.0
commit44--commit45,98.53902345251826
commit45--commit46,100.0
commit46--commit47,99.84674329501915
commit47--commit48,100.0
commit48--commit49,100.0
commit49--commit50,100.0
commit50--commit51,100.0
commit51--commit52,99.31584948688712
commit52--commit53,96.19269619269619
commit53--commit54,100.0
commit54--commit55,100.0
commit55--commit56,100.0
commit56--commit57,100.0
commit57--commit58,100.0
commit58--commit59,99.31146213041717
commit59--commit60,100.0
commit60--commit61,100.0
commit61--commit62,100.0
commit62--commit63,96.96969696969697
commit63--commit64,100.0
commit64--commit65,100.0
commit65--commit66,100.0
commit66--commit67,100.0
commit67--commit68,100.0
commit68--commit69,99.76744186046511
commit69--commit70,100.0
commit70--commit71,100.0
commit71--commit72,100.0
commit72--commit73,100.0
commit73--commit74,99.9227202472952
commit74--commit75,100.0
commit75--commit76,100.0
commit76--commit77,100.0
commit77--commit78,100.0
commit78--commit79,100.0
commit79--commit80,100.0
commit80--commit81,100.0
commit81--commit82,100.0
commit82--commit83,100.0
commit83--commit84,100.0
commit84--commit85,100.0
commit85--commit86,100.0
commit86--commit87,100.0
commit87--commit88,100.0
commit88--commit89,100.0
commit89--commit90,98.10177705977384
commit90--commit91,99.91539763113367
commit91--commit92,100.0
commit92--commit93,100.0
commit93--commit94,96.90763052208835
commit94--commit95,100.0
commit95--commit96,100.0
commit96--commit97,100.0
commit97--commit98,99.88532110091744
commit98--commit99,99.9236641221374
commit99--commit100,95.6943366951125
commit100--commit101,100.0
commit101--commit102,100.0
commit102--commit103,100.0
commit103--commit104,98.11616954474097
commit104--commit105,100.0
commit105--commit106,99.80506822612085
commit106--commit107,100.0
commit107--commit108,99.8444185141968
commit108--commit109,99.8444185141968
commit109--commit110,99.8444185141968
commit110--commit111,100.0
commit111--commit112,100.0
commit112--commit113,100.0
commit113--commit114,100.0
commit114--commit115,100.0
commit115--commit116,100.0
commit116--commit117,100.0
commit117--commit118,100.0
commit118--commit119,100.0
commit119--commit120,100.0
commit120--commit121,100.0
commit121--commit122,100.0
commit122--commit123,100.0
commit123--commit124,93.51701782820098
commit124--commit125,100.0
commit125--commit126,88.48
commit126--commit127,100.0
commit127--commit128,100.0
commit128--commit129,100.0
commit129--commit130,100.0
commit130--commit131,92.80715396578539
commit131--commit132,100.0
commit132--commit133,92.8904428904429
commit133--commit134,100.0
commit134--commit135,100.0
commit135--commit136,100.0
commit136--commit137,100.0
commit137--commit138,100.0
commit138--commit139,100.0
commit139--commit140,100.0
commit140--commit141,92.84317559640203
commit141--commit142,100.0
commit142--commit143,100.0
commit143--commit144,100.0
commit144--commit145,100.0
commit145--commit146,100.0
commit146--commit147,100.0
commit147--commit148,100.0
commit148--commit149,100.0
commit149--commit150,100.0
commit150--commit151,100.0
commit151--commit152,100.0
commit152--commit153,97.93336145086461
commit153--commit154,100.0
commit154--commit155,100.0
commit155--commit156,90.41940789473684
commit156--commit157,92.91119076065313
commit157--commit158,100.0
commit158--commit159,98.29614604462475
commit159--commit160,98.29614604462475
commit160--commit161,100.0
commit161--commit162,100.0
commit162--commit163,100.0
commit163--commit164,100.0
commit164--commit165,100.0
commit165--commit166,100.0
commit166--commit167,100.0
commit167--commit168,88.59577922077922
commit168--commit169,99.24242424242425
commit169--commit170,99.64171974522293
commit170--commit171,100.0
commit171--commit172,94.54995871180843
commit172--commit173,100.0
commit173--commit174,100.0
commit174--commit175,99.74326059050064
commit175--commit176,94.6847960444994
commit176--commit177,100.0
commit177--commit178,100.0
commit178--commit179,100.0
commit179--commit180,100.0
commit180--commit181,100.0
commit181--commit182,100.0
commit182--commit183,89.37784522003035
commit183--commit184,100.0
commit184--commit185,100.0
commit185--commit186,99.85475671750181
commit186--commit187,93.54037267080746
commit187--commit188,100.0
commit188--commit189,99.86460871919849
commit189--commit190,100.0
commit190--commit191,100.0
commit191--commit192,99.97295835586803
commit192--commit193,100.0
commit193--commit194,100.0
commit194--commit195,100.0
commit195--commit196,100.0
commit196--commit197,100.0
commit197--commit198,100.0
commit198--commit199,100.0
commit199--commit200,100.0
commit200--commit201,100.0
commit201--commit202,100.0
commit202--commit203,99.94594594594595
commit203--commit204,100.0
commit204--commit205,99.89203778677462
commit205--commit206,99.9730312837109
commit206--commit207,100.0
commit207--commit208,98.64566058595909
commit208--commit209,100.0
commit209--commit210,100.0
commit210--commit211,100.0
commit211--commit212,100.0
commit212--commit213,100.0
commit213--commit214,100.0
commit214--commit215,100.0
commit215--commit216,99.88681380871533
commit216--commit217,99.94353472614343
commit217--commit218,100.0
commit218--commit219,100.0
commit219--commit220,96.3870562362551
